"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"27/02/2026","6.675","6.725","6.750","6.575","68,40M","-0,74%"
"26/02/2026","6.725","6.700","6.725","6.575","30,90M","1,13%"
"25/02/2026","6.650","6.600","6.675","6.575","45,21M","1,53%"
"24/02/2026","6.550","6.650","6.725","6.550","51,30M","-1,13%"
"23/02/2026","6.625","6.625","6.650","6.550","38,19M","1,15%"
"20/02/2026","6.550","6.600","6.650","6.550","28,16M","-0,76%"
"19/02/2026","6.600","6.700","6.775","6.550","46,70M","-1,49%"
"18/02/2026","6.700","6.750","6.750","6.650","25,86M","0,75%"
"13/02/2026","6.650","6.775","6.775","6.575","31,21M","-1,85%"
"12/02/2026","6.775","6.775","6.900","6.750","26,54M","0,37%"
"11/02/2026","6.750","6.800","6.825","6.700","41,05M","-1,46%"
"10/02/2026","6.850","6.700","6.850","6.650","45,37M","3,01%"
"09/02/2026","6.650","6.750","6.750","6.525","34,80M","-0,75%"
"06/02/2026","6.700","6.800","6.800","6.575","49,55M","-3,60%"
"05/02/2026","6.950","6.725","7.000","6.725","72,79M","4,12%"
"04/02/2026","6.675","6.800","6.825","6.625","58,21M","-1,84%"
"03/02/2026","6.800","6.375","6.800","6.325","63,53M","8,37%"
"02/02/2026","6.275","6.350","6.400","6.175","71,57M","-1,18%"
"30/01/2026","6.350","6.525","6.550","6.300","101,09M","-1,93%"
"29/01/2026","6.475","6.200","6.475","5.725","136,30M","4,86%"
"28/01/2026","6.175","6.200","6.475","5.775","200,26M","-1,98%"
"27/01/2026","6.300","6.775","6.800","6.225","145,47M","-8,36%"
"26/01/2026","6.875","6.850","6.875","6.700","55,47M","0,73%"
"23/01/2026","6.825","6.800","6.900","6.650","52,23M","0,74%"
"22/01/2026","6.775","6.700","6.850","6.625","70,22M","2,65%"
"21/01/2026","6.600","6.300","6.800","6.300","269,45M","-9,28%"
"20/01/2026","7.275","7.350","7.375","7.225","21,17M","-1,69%"
"19/01/2026","7.400","7.200","7.475","7.175","51,59M","4,96%"
"15/01/2026","7.050","7.200","7.200","7.000","26,41M","-1,05%"
"14/01/2026","7.125","7.200","7.225","7.025","40,66M","-2,40%"
"13/01/2026","7.300","7.075","7.300","7.025","65,66M","4,29%"
"12/01/2026","7.000","6.925","7.000","6.900","24,92M","1,82%"
"09/01/2026","6.875","7.000","7.100","6.825","29,17M","-1,79%"
"08/01/2026","7.000","7.025","7.100","6.975","30,85M","-0,36%"
"07/01/2026","7.025","6.800","7.075","6.800","55,25M","1,81%"
"06/01/2026","6.900","6.875","6.900","6.700","33,96M","0,36%"
"05/01/2026","6.875","6.775","6.875","6.675","30,63M","1,10%"
"02/01/2026","6.800","6.600","6.800","6.600","19,57M","1,49%"
"30/12/2025","6.700","6.675","6.725","6.600","23,49M","0,37%"
"29/12/2025","6.675","6.625","6.725","6.600","20,98M","0,75%"
"24/12/2025","6.625","6.450","6.675","6.450","20,27M","1,92%"
"23/12/2025","6.500","6.500","6.575","6.450","13,76M","-1,14%"
"22/12/2025","6.575","6.450","6.600","6.450","30,76M","0,77%"
"19/12/2025","6.525","6.575","6.575","6.425","61,20M","0,38%"
"18/12/2025","6.500","6.600","6.600","6.475","20,45M","-1,52%"
"17/12/2025","6.600","6.550","6.600","6.500","32,68M","0,00%"
"16/12/2025","6.600","6.575","6.600","6.500","34,72M","0,00%"
"15/12/2025","6.600","6.725","6.725","6.525","38,10M","0,00%"
"12/12/2025","6.600","6.550","6.600","6.425","28,84M","2,33%"
"11/12/2025","6.450","6.650","6.675","6.350","42,12M","-2,64%"
"10/12/2025","6.625","6.700","6.725","6.550","34,52M","0,38%"
"09/12/2025","6.600","6.775","6.775","6.450","38,48M","-1,86%"
"08/12/2025","6.725","6.825","6.825","6.625","38,78M","0,37%"
"05/12/2025","6.700","6.725","6.900","6.700","67,71M","-0,37%"
"04/12/2025","6.725","6.575","6.725","6.550","38,51M","1,89%"
"03/12/2025","6.600","6.600","6.650","6.550","24,39M","-0,38%"
"02/12/2025","6.625","6.575","6.625","6.500","53,57M","3,92%"
"01/12/2025","6.375","6.375","6.500","6.325","38,67M","-2,67%"
"28/11/2025","6.550","6.600","6.600","6.500","38,38M","-0,38%"
"27/11/2025","6.575","6.600","6.600","6.450","23,74M","-0,38%"
"26/11/2025","6.600","6.500","6.600","6.425","29,33M","2,33%"
"25/11/2025","6.450","6.425","6.475","6.375","20,95M","-0,39%"
"24/11/2025","6.475","6.500","6.525","6.425","71,72M","0,78%"
"21/11/2025","6.425","6.400","6.425","6.325","43,65M","0,00%"
"20/11/2025","6.425","6.450","6.500","6.375","30,55M","0,39%"
"19/11/2025","6.400","6.425","6.475","6.275","45,48M","-0,39%"
"18/11/2025","6.425","6.475","6.550","6.400","27,51M","-0,39%"
"17/11/2025","6.450","6.400","6.500","6.375","40,68M","0,78%"
"14/11/2025","6.400","6.375","6.450","6.325","23,43M","0,39%"
"13/11/2025","6.375","6.425","6.425","6.350","21,20M","-1,16%"
"12/11/2025","6.450","6.550","6.575","6.400","37,08M","-1,15%"
"11/11/2025","6.525","6.550","6.600","6.450","43,53M","1,56%"
"10/11/2025","6.425","6.500","6.500","6.400","45,53M","0,00%"
"07/11/2025","6.425","6.325","6.450","6.300","42,96M","1,58%"
"06/11/2025","6.325","6.300","6.350","6.200","48,98M","1,20%"
"05/11/2025","6.250","6.250","6.325","6.175","43,44M","-0,79%"
"04/11/2025","6.300","6.300","6.375","6.250","62,25M","-0,79%"
"03/11/2025","6.350","6.150","6.450","6.150","59,09M","3,25%"
"31/10/2025","6.150","6.250","6.300","6.125","64,79M","-1,99%"
"30/10/2025","6.275","6.425","6.450","6.250","28,98M","-3,09%"
"29/10/2025","6.475","6.250","6.500","6.225","39,82M","2,37%"
"28/10/2025","6.325","6.600","6.600","6.275","37,95M","-4,17%"
"27/10/2025","6.600","6.600","6.725","6.375","64,26M","0,38%"
"24/10/2025","6.575","6.375","6.675","6.350","93,34M","3,95%"
"23/10/2025","6.325","6.075","6.400","6.075","60,01M","2,43%"
"22/10/2025","6.175","6.050","6.300","6.000","98,62M","2,92%"
"21/10/2025","6.000","6.000","6.050","5.900","46,18M","1,27%"
"20/10/2025","5.925","5.625","5.925","5.625","29,96M","5,33%"
"17/10/2025","5.625","5.725","5.800","5.575","31,79M","-2,17%"
"16/10/2025","5.750","5.850","5.850","5.750","15,04M","-0,43%"
"15/10/2025","5.775","5.950","5.950","5.750","96,60M","-0,86%"
"14/10/2025","5.825","5.800","6.025","5.800","53,10M","0,43%"
"13/10/2025","5.800","5.850","5.925","5.775","29,03M","-1,69%"
"10/10/2025","5.900","5.925","5.950","5.850","27,13M","-0,42%"
"09/10/2025","5.925","5.775","5.925","5.750","27,70M","3,49%"
"08/10/2025","5.725","5.825","5.875","5.650","30,08M","-0,43%"
"07/10/2025","5.750","5.925","6.050","5.725","43,33M","-1,29%"
"06/10/2025","5.825","5.900","5.925","5.800","21,82M","0,00%"
"03/10/2025","5.825","5.750","5.850","5.750","27,95M","2,19%"
"02/10/2025","5.700","5.750","5.750","5.625","29,35M","0,44%"
"01/10/2025","5.675","5.825","5.850","5.650","26,51M","-1,73%"
"30/09/2025","5.775","5.750","5.825","5.700","41,27M","0,00%"
"29/09/2025","5.775","5.875","5.900","5.750","20,89M","-1,70%"
"26/09/2025","5.875","5.875","6.000","5.775","42,68M","1,73%"
"25/09/2025","5.775","5.900","5.900","5.750","35,81M","-2,12%"
"24/09/2025","5.900","5.950","5.950","5.850","61,17M","0,00%"
"23/09/2025","5.900","5.675","5.950","5.650","41,04M","3,51%"
"22/09/2025","5.700","5.725","5.725","5.625","35,11M","-0,44%"
"19/09/2025","5.725","5.575","5.750","5.575","52,16M","2,69%"
