"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"27/02/2026","7.175","7.200","7.275","7.175","193,10M","-1,71%"
"26/02/2026","7.300","7.350","7.375","7.200","127,81M","-0,34%"
"25/02/2026","7.325","7.275","7.375","7.250","133,28M","1,38%"
"24/02/2026","7.225","7.275","7.325","7.225","159,23M","-1,03%"
"23/02/2026","7.300","7.300","7.350","7.275","102,02M","1,04%"
"20/02/2026","7.225","7.175","7.250","7.150","122,96M","0,70%"
"19/02/2026","7.175","7.325","7.325","7.175","133,46M","-1,37%"
"18/02/2026","7.275","7.225","7.375","7.225","125,30M","1,04%"
"13/02/2026","7.200","7.325","7.325","7.200","356,02M","-1,71%"
"12/02/2026","7.325","7.450","7.475","7.300","237,47M","-1,68%"
"11/02/2026","7.450","7.475","7.525","7.400","213,50M","-0,33%"
"10/02/2026","7.475","7.500","7.550","7.450","127,70M","-0,33%"
"09/02/2026","7.500","7.675","7.725","7.450","174,76M","-2,28%"
"06/02/2026","7.675","7.700","7.775","7.600","176,35M","-1,60%"
"05/02/2026","7.800","7.800","7.925","7.800","142,33M","0,00%"
"04/02/2026","7.800","7.650","7.825","7.600","193,37M","1,96%"
"03/02/2026","7.650","7.600","7.650","7.375","206,02M","0,66%"
"02/02/2026","7.600","7.600","7.600","7.325","326,95M","2,70%"
"30/01/2026","7.400","7.200","7.600","7.200","528,43M","2,78%"
"29/01/2026","7.200","6.675","7.275","6.375","1,43B","2,49%"
"28/01/2026","7.025","7.050","7.400","6.925","1,03B","-6,33%"
"27/01/2026","7.500","7.575","7.625","7.500","259,83M","-1,96%"
"26/01/2026","7.650","7.550","7.675","7.525","213,04M","0,00%"
"23/01/2026","7.650","7.600","7.675","7.550","202,88M","0,00%"
"22/01/2026","7.650","7.700","7.775","7.600","268,03M","-0,65%"
"21/01/2026","7.700","7.925","7.950","7.700","301,83M","-3,75%"
"20/01/2026","8.000","8.050","8.125","8.000","82,67M","-1,54%"
"19/01/2026","8.125","8.075","8.125","7.975","172,10M","0,62%"
"15/01/2026","8.075","8.000","8.175","7.975","151,75M","0,94%"
"14/01/2026","8.000","8.025","8.050","7.950","105,72M","-0,93%"
"13/01/2026","8.075","8.025","8.075","8.000","80,54M","0,62%"
"12/01/2026","8.025","8.075","8.100","8.000","82,94M","-1,23%"
"09/01/2026","8.125","8.125","8.175","8.050","79,48M","0,93%"
"08/01/2026","8.050","8.100","8.150","8.050","79,82M","-1,23%"
"07/01/2026","8.150","8.125","8.175","8.025","93,15M","-0,31%"
"06/01/2026","8.175","8.175","8.175","8.075","97,62M","1,24%"
"05/01/2026","8.075","8.000","8.100","8.000","73,41M","0,62%"
"02/01/2026","8.025","8.075","8.075","8.000","68,61M","-0,62%"
"30/12/2025","8.075","7.950","8.175","7.950","102,00M","0,62%"
"29/12/2025","8.025","8.025","8.025","7.950","78,40M","0,00%"
"24/12/2025","8.025","8.025","8.075","8.000","71,26M","0,00%"
"23/12/2025","8.025","8.100","8.125","7.975","85,04M","-1,83%"
"22/12/2025","8.175","8.050","8.175","8.025","72,42M","1,55%"
"19/12/2025","8.050","8.200","8.225","8.050","131,07M","-1,53%"
"18/12/2025","8.175","8.025","8.250","8.025","88,50M","1,87%"
"17/12/2025","8.025","8.000","8.125","7.975","89,80M","-0,62%"
"16/12/2025","8.075","8.375","8.375","8.025","122,33M","-2,71%"
"15/12/2025","8.300","7.925","8.300","7.925","143,11M","3,75%"
"12/12/2025","8.000","7.900","8.000","7.850","100,01M","0,00%"
"11/12/2025","8.000","8.175","8.200","7.900","140,77M","-0,93%"
"10/12/2025","8.075","8.100","8.175","8.025","143,42M","-0,31%"
"09/12/2025","8.100","8.300","8.300","8.100","113,06M","-2,41%"
"08/12/2025","8.300","8.350","8.350","8.250","61,75M","0,00%"
"05/12/2025","8.300","8.200","8.300","8.200","71,16M","0,91%"
"04/12/2025","8.225","8.325","8.350","8.225","71,41M","-0,90%"
"03/12/2025","8.300","8.350","8.400","8.300","103,55M","-0,90%"
"02/12/2025","8.375","8.350","8.425","8.350","97,04M","-0,30%"
"01/12/2025","8.400","8.450","8.450","8.350","76,36M","1,51%"
"28/11/2025","8.275","8.325","8.350","8.275","67,56M","-0,60%"
"27/11/2025","8.325","8.425","8.450","8.325","71,05M","-1,19%"
"26/11/2025","8.425","8.400","8.450","8.375","77,09M","-0,88%"
"25/11/2025","8.500","8.475","8.500","8.375","98,81M","0,29%"
"24/11/2025","8.475","8.400","8.475","8.350","279,59M","0,89%"
"21/11/2025","8.400","8.375","8.425","8.350","103,92M","-0,30%"
"20/11/2025","8.425","8.475","8.600","8.400","124,09M","-0,59%"
"19/11/2025","8.475","8.350","8.500","8.325","114,21M","0,89%"
"18/11/2025","8.400","8.550","8.575","8.400","119,38M","-2,04%"
"17/11/2025","8.575","8.500","8.575","8.475","129,41M","1,78%"
"14/11/2025","8.425","8.375","8.500","8.375","89,82M","0,60%"
"13/11/2025","8.375","8.400","8.475","8.375","104,11M","-1,47%"
"12/11/2025","8.500","8.425","8.550","8.400","85,42M","1,19%"
"11/11/2025","8.400","8.575","8.600","8.400","130,90M","-2,04%"
"10/11/2025","8.575","8.675","8.675","8.575","79,90M","-1,15%"
"07/11/2025","8.675","8.550","8.675","8.550","75,24M","1,46%"
"06/11/2025","8.550","8.625","8.675","8.550","89,76M","-1,72%"
"05/11/2025","8.700","8.625","8.700","8.600","125,73M","0,58%"
"04/11/2025","8.650","8.650","8.700","8.625","155,23M","0,00%"
"03/11/2025","8.650","8.650","8.650","8.525","115,01M","1,47%"
"31/10/2025","8.525","8.550","8.650","8.525","177,09M","0,00%"
"30/10/2025","8.525","8.575","8.750","8.475","259,01M","-0,87%"
"29/10/2025","8.600","8.300","8.600","8.275","239,16M","3,93%"
"28/10/2025","8.275","8.350","8.400","8.250","180,27M","-0,90%"
"27/10/2025","8.350","8.325","8.425","8.200","182,28M","0,91%"
"24/10/2025","8.275","8.300","8.375","8.275","133,36M","-0,60%"
"23/10/2025","8.325","8.200","8.350","8.150","187,00M","1,52%"
"22/10/2025","8.200","8.700","8.700","8.200","392,96M","-3,24%"
"21/10/2025","8.475","8.100","8.475","8.100","529,80M","7,62%"
"20/10/2025","7.875","7.700","8.000","7.625","393,42M","5,00%"
"17/10/2025","7.500","7.300","7.525","7.275","157,33M","2,74%"
"16/10/2025","7.300","7.250","7.325","7.225","120,61M","0,69%"
"15/10/2025","7.250","7.250","7.350","7.225","133,21M","0,00%"
"14/10/2025","7.250","7.275","7.350","7.250","151,87M","-1,02%"
"13/10/2025","7.325","7.300","7.375","7.300","101,85M","-1,01%"
"10/10/2025","7.400","7.450","7.450","7.350","107,43M","-1,99%"
"09/10/2025","7.550","7.375","7.700","7.300","293,57M","2,37%"
"08/10/2025","7.375","7.500","7.525","7.375","168,08M","-2,64%"
"07/10/2025","7.575","7.550","7.600","7.500","74,28M","1,00%"
"06/10/2025","7.500","7.500","7.550","7.450","104,04M","-0,33%"
"03/10/2025","7.525","7.525","7.550","7.500","76,79M","0,33%"
"02/10/2025","7.500","7.500","7.600","7.500","126,95M","0,00%"
"01/10/2025","7.500","7.600","7.675","7.500","202,43M","-1,64%"
"30/09/2025","7.625","7.700","7.775","7.625","170,67M","-1,93%"
"29/09/2025","7.775","7.750","7.800","7.700","116,45M","1,97%"
"26/09/2025","7.625","7.575","7.700","7.575","121,66M","-0,97%"
"25/09/2025","7.700","7.725","7.775","7.700","147,99M","-0,96%"
"24/09/2025","7.775","7.950","7.950","7.725","150,43M","-1,27%"
"23/09/2025","7.875","7.750","7.900","7.750","102,61M","1,94%"
"22/09/2025","7.725","7.800","7.825","7.725","92,59M","-0,96%"
"19/09/2025","7.800","7.650","7.825","7.650","149,03M","1,30%"
"18/09/2025","7.700","7.850","7.900","7.650","275,38M","-1,91%"
"17/09/2025","7.850","7.850","7.900","7.800","183,73M","-0,95%"
"16/09/2025","7.925","8.050","8.075","7.900","129,31M","-1,25%"
"15/09/2025","8.025","8.000","8.100","7.975","142,57M","1,26%"
"12/09/2025","7.925","7.975","7.975","7.850","156,08M","0,96%"
"11/09/2025","7.850","7.900","7.975","7.850","235,17M","0,64%"
"10/09/2025","7.800","7.550","7.800","7.550","246,85M","3,65%"
"09/09/2025","7.525","7.625","7.725","7.475","595,37M","-2,27%"
"08/09/2025","7.700","8.025","8.025","7.700","321,19M","-3,75%"
"04/09/2025","8.000","7.975","8.000","7.925","103,53M","0,31%"
"03/09/2025","7.975","7.900","8.000","7.900","212,37M","-0,31%"
"02/09/2025","8.000","8.000","8.175","8.000","155,53M","0,00%"
"01/09/2025","8.000","7.650","8.050","7.600","421,13M","-0,93%"
"29/08/2025","8.075","8.250","8.275","8.075","236,50M","-3,00%"
"28/08/2025","8.325","8.350","8.375","8.275","81,28M","0,30%"
"27/08/2025","8.300","8.250","8.350","8.200","111,92M","0,61%"
"26/08/2025","8.250","8.450","8.475","8.250","326,79M","-2,65%"
"25/08/2025","8.475","8.525","8.550","8.475","64,05M","0,30%"
"22/08/2025","8.450","8.575","8.575","8.450","66,39M","-1,17%"
"21/08/2025","8.550","8.550","8.575","8.500","69,47M","0,29%"
"20/08/2025","8.525","8.375","8.600","8.350","202,26M","0,29%"
"19/08/2025","8.500","8.600","8.600","8.450","128,59M","-2,30%"
"15/08/2025","8.700","8.825","8.850","8.700","68,75M","-0,85%"
"14/08/2025","8.775","8.925","8.950","8.750","122,93M","-1,68%"
"13/08/2025","8.925","8.975","8.975","8.725","129,08M","0,85%"
"12/08/2025","8.850","8.625","8.875","8.575","171,02M","3,51%"
