"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"27/02/2026","4.400","4.460","4.460","4.400","83,01M","-1,35%"
"26/02/2026","4.460","4.500","4.510","4.420","53,38M","-0,89%"
"25/02/2026","4.500","4.470","4.520","4.440","53,01M","1,12%"
"24/02/2026","4.450","4.480","4.490","4.430","58,15M","-1,11%"
"23/02/2026","4.500","4.470","4.510","4.460","35,30M","0,67%"
"20/02/2026","4.470","4.450","4.500","4.420","48,07M","0,45%"
"19/02/2026","4.450","4.520","4.550","4.450","54,01M","-0,89%"
"18/02/2026","4.490","4.510","4.540","4.480","38,80M","0,22%"
"13/02/2026","4.480","4.510","4.510","4.470","25,12M","-0,67%"
"12/02/2026","4.510","4.480","4.510","4.470","27,57M","0,67%"
"11/02/2026","4.480","4.500","4.510","4.460","54,08M","-0,67%"
"10/02/2026","4.510","4.520","4.540","4.480","38,28M","-0,22%"
"09/02/2026","4.520","4.570","4.570","4.450","51,51M","-0,22%"
"06/02/2026","4.530","4.510","4.560","4.470","59,93M","-0,88%"
"05/02/2026","4.570","4.630","4.730","4.570","94,55M","-1,30%"
"04/02/2026","4.630","4.590","4.650","4.570","92,92M","0,87%"
"03/02/2026","4.590","4.570","4.630","4.380","82,65M","2,00%"
"02/02/2026","4.500","4.570","4.580","4.370","85,79M","0,22%"
"30/01/2026","4.490","4.450","4.590","4.430","167,02M","1,58%"
"29/01/2026","4.420","4.310","4.460","3.990","242,95M","-0,45%"
"28/01/2026","4.440","4.380","4.550","4.270","114,15M","-1,33%"
"27/01/2026","4.500","4.530","4.540","4.470","40,66M","-0,66%"
"26/01/2026","4.530","4.590","4.600","4.520","79,14M","-1,52%"
"23/01/2026","4.600","4.590","4.610","4.520","37,56M","0,22%"
"22/01/2026","4.590","4.600","4.670","4.590","60,26M","0,00%"
"21/01/2026","4.590","4.570","4.590","4.500","54,28M","0,44%"
"20/01/2026","4.570","4.620","4.640","4.560","67,79M","-1,08%"
"19/01/2026","4.620","4.540","4.720","4.510","123,40M","1,76%"
"15/01/2026","4.540","4.380","4.600","4.370","132,48M","4,13%"
"14/01/2026","4.360","4.340","4.390","4.310","41,78M","0,46%"
"13/01/2026","4.340","4.250","4.340","4.240","76,02M","2,84%"
"12/01/2026","4.220","4.190","4.250","4.190","24,97M","0,96%"
"09/01/2026","4.180","4.230","4.240","4.180","35,41M","-0,71%"
"08/01/2026","4.210","4.200","4.270","4.200","40,06M","0,24%"
"07/01/2026","4.200","4.200","4.240","4.200","39,30M","-0,94%"
"06/01/2026","4.240","4.230","4.260","4.200","53,91M","0,24%"
"05/01/2026","4.230","4.260","4.270","4.210","48,78M","-0,70%"
"02/01/2026","4.260","4.340","4.350","4.260","32,69M","-2,52%"
"30/12/2025","4.370","4.260","4.380","4.250","44,23M","2,58%"
"29/12/2025","4.260","4.270","4.320","4.260","24,49M","-0,23%"
"24/12/2025","4.270","4.260","4.330","4.260","18,16M","-0,47%"
"23/12/2025","4.290","4.290","4.320","4.250","26,80M","-0,92%"
"22/12/2025","4.330","4.330","4.360","4.290","28,11M","-0,23%"
"19/12/2025","4.340","4.380","4.410","4.320","47,29M","-0,91%"
"18/12/2025","4.380","4.360","4.440","4.360","45,69M","0,23%"
"17/12/2025","4.370","4.400","4.420","4.340","27,65M","-0,68%"
"16/12/2025","4.400","4.440","4.460","4.330","36,29M","-0,90%"
"15/12/2025","4.440","4.270","4.450","4.230","57,53M","4,72%"
"12/12/2025","4.240","4.290","4.290","4.170","23,24M","0,24%"
"11/12/2025","4.230","4.350","4.390","4.190","43,39M","-1,86%"
"10/12/2025","4.310","4.350","4.350","4.270","19,91M","-0,23%"
"09/12/2025","4.320","4.310","4.330","4.260","34,46M","0,23%"
"08/12/2025","4.310","4.360","4.360","4.290","28,22M","0,47%"
"05/12/2025","4.290","4.330","4.360","4.290","28,88M","-0,46%"
"04/12/2025","4.310","4.260","4.320","4.240","23,54M","1,17%"
"03/12/2025","4.260","4.270","4.290","4.240","28,26M","-0,23%"
"02/12/2025","4.270","4.340","4.360","4.250","39,09M","-0,93%"
"01/12/2025","4.310","4.240","4.350","4.240","19,34M","1,17%"
"28/11/2025","4.260","4.330","4.350","4.260","40,76M","-2,07%"
"27/11/2025","4.350","4.420","4.420","4.300","33,62M","-1,36%"
"26/11/2025","4.410","4.420","4.420","4.370","31,69M","-0,23%"
"25/11/2025","4.420","4.420","4.450","4.370","36,14M","0,68%"
"24/11/2025","4.390","4.400","4.440","4.350","76,65M","0,00%"
"21/11/2025","4.390","4.450","4.450","4.370","45,57M","-1,57%"
"20/11/2025","4.460","4.470","4.560","4.450","54,71M","0,00%"
"19/11/2025","4.460","4.470","4.470","4.410","34,30M","0,00%"
"18/11/2025","4.460","4.400","4.470","4.400","36,96M","1,59%"
"17/11/2025","4.390","4.390","4.440","4.380","28,45M","0,00%"
"14/11/2025","4.390","4.410","4.450","4.370","34,60M","-0,68%"
"13/11/2025","4.420","4.470","4.480","4.420","20,21M","-0,90%"
"12/11/2025","4.460","4.410","4.480","4.400","35,39M","0,90%"
"11/11/2025","4.420","4.450","4.450","4.370","48,79M","0,00%"
"10/11/2025","4.420","4.520","4.520","4.410","45,52M","-1,78%"
"07/11/2025","4.500","4.440","4.500","4.440","36,15M","1,35%"
"06/11/2025","4.440","4.450","4.480","4.430","31,81M","-0,45%"
"05/11/2025","4.460","4.400","4.480","4.380","43,45M","0,22%"
"04/11/2025","4.450","4.430","4.510","4.430","73,34M","0,45%"
"03/11/2025","4.430","4.390","4.460","4.380","40,46M","1,14%"
"31/10/2025","4.380","4.400","4.450","4.350","69,14M","-0,68%"
"30/10/2025","4.410","4.420","4.530","4.370","91,04M","-0,68%"
"29/10/2025","4.440","4.380","4.440","4.320","71,74M","1,60%"
"28/10/2025","4.370","4.390","4.440","4.340","58,46M","0,00%"
"27/10/2025","4.370","4.440","4.450","4.270","102,36M","0,00%"
"24/10/2025","4.370","4.220","4.440","4.210","177,60M","3,07%"
"23/10/2025","4.240","4.030","4.250","4.020","130,64M","5,21%"
"22/10/2025","4.030","4.070","4.150","4.000","81,23M","-0,49%"
"21/10/2025","4.050","4.110","4.130","4.030","88,06M","0,25%"
"20/10/2025","4.040","3.870","4.110","3.860","146,20M","6,32%"
"17/10/2025","3.800","3.870","3.900","3.800","60,73M","-1,30%"
"16/10/2025","3.850","3.790","3.890","3.760","55,98M","2,12%"
"15/10/2025","3.770","3.810","3.840","3.720","84,58M","-0,79%"
"14/10/2025","3.800","3.910","3.940","3.800","69,45M","-2,56%"
"13/10/2025","3.900","3.920","3.940","3.870","38,35M","-1,76%"
"10/10/2025","3.970","4.090","4.090","3.950","48,78M","-3,17%"
"09/10/2025","4.100","3.910","4.150","3.860","106,11M","4,06%"
"08/10/2025","3.940","4.000","4.010","3.930","28,81M","-1,25%"
"07/10/2025","3.990","4.030","4.040","3.970","41,25M","-0,25%"
"06/10/2025","4.000","4.040","4.090","4.000","35,06M","-0,99%"
"03/10/2025","4.040","4.060","4.080","4.010","26,76M","0,00%"
"02/10/2025","4.040","4.050","4.100","4.040","34,73M","-0,25%"
"01/10/2025","4.050","4.050","4.120","4.050","37,81M","-1,22%"
"30/09/2025","4.100","4.170","4.170","4.100","60,16M","-1,68%"
"29/09/2025","4.170","4.160","4.170","4.110","41,04M","-0,24%"
"26/09/2025","4.180","4.150","4.180","4.110","39,38M","-0,24%"
"25/09/2025","4.190","4.180","4.190","4.140","35,63M","0,00%"
"24/09/2025","4.190","4.220","4.230","4.170","28,65M","-0,24%"
"23/09/2025","4.200","4.210","4.240","4.170","39,15M","-0,24%"
"22/09/2025","4.210","4.270","4.280","4.170","63,52M","-1,41%"
"19/09/2025","4.270","4.250","4.290","4.210","100,58M","-1,61%"
"18/09/2025","4.340","4.480","4.490","4.250","90,93M","-2,47%"
"17/09/2025","4.450","4.390","4.450","4.330","54,55M","1,83%"
"16/09/2025","4.370","4.440","4.450","4.320","52,08M","-0,91%"
"15/09/2025","4.410","4.550","4.600","4.410","74,52M","-2,43%"
"12/09/2025","4.520","4.430","4.530","4.330","109,80M","2,26%"
"11/09/2025","4.420","4.210","4.430","4.210","130,16M","7,80%"
"10/09/2025","4.100","4.100","4.140","4.080","64,54M","0,49%"
"09/09/2025","4.080","4.160","4.200","4.020","102,88M","-2,39%"
"08/09/2025","4.180","4.430","4.440","4.050","55,69M","-4,35%"
"04/09/2025","4.370","4.410","4.410","4.340","17,35M","-0,91%"
"03/09/2025","4.410","4.320","4.410","4.320","29,75M","2,32%"
"02/09/2025","4.310","4.340","4.430","4.290","28,51M","-0,23%"
"01/09/2025","4.320","4.170","4.400","4.150","60,51M","-1,37%"
"29/08/2025","4.380","4.440","4.460","4.350","60,71M","-1,79%"
"28/08/2025","4.460","4.480","4.500","4.450","37,27M","0,22%"
"27/08/2025","4.450","4.500","4.500","4.400","45,97M","-1,98%"
"26/08/2025","4.540","4.430","4.540","4.370","85,60M","2,02%"
"25/08/2025","4.450","4.460","4.520","4.440","53,43M","1,37%"
"22/08/2025","4.390","4.500","4.500","4.380","32,63M","-2,23%"
"21/08/2025","4.490","4.420","4.490","4.400","60,90M","1,35%"
"20/08/2025","4.430","4.290","4.450","4.290","52,90M","2,31%"
"19/08/2025","4.330","4.360","4.360","4.280","34,41M","-0,92%"
"15/08/2025","4.370","4.370","4.450","4.370","62,30M","-0,46%"
"14/08/2025","4.390","4.400","4.400","4.360","43,16M","0,46%"
"13/08/2025","4.370","4.390","4.420","4.310","54,04M","0,23%"
"12/08/2025","4.360","4.220","4.420","4.210","120,91M","3,81%"
"11/08/2025","4.200","4.090","4.220","4.080","61,70M","3,19%"
"08/08/2025","4.070","4.090","4.100","4.070","43,53M","-1,21%"
"07/08/2025","4.120","4.120","4.140","4.100","21,21M","0,49%"
"06/08/2025","4.100","4.220","4.230","4.100","27,98M","-2,84%"
"05/08/2025","4.220","4.040","4.230","4.040","93,77M","5,24%"
"04/08/2025","4.010","4.000","4.030","3.990","30,44M","0,00%"
"01/08/2025","4.010","4.050","4.070","4.010","32,30M","0,00%"
