"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"27/02/2026","3.910","3.950","3.950","3.880","263,18M","-1,01%"
"26/02/2026","3.950","3.970","3.970","3.920","146,16M","-0,50%"
"25/02/2026","3.970","3.880","3.980","3.880","263,03M","2,58%"
"24/02/2026","3.870","3.880","3.890","3.860","191,30M","-0,77%"
"23/02/2026","3.900","3.880","3.910","3.860","193,42M","1,56%"
"20/02/2026","3.840","3.790","3.870","3.780","191,53M","1,86%"
"19/02/2026","3.770","3.850","3.850","3.770","154,56M","-1,57%"
"18/02/2026","3.830","3.780","3.840","3.760","135,22M","1,32%"
"13/02/2026","3.780","3.780","3.800","3.750","144,47M","-0,26%"
"12/02/2026","3.790","3.780","3.790","3.760","185,68M","-0,26%"
"11/02/2026","3.800","3.790","3.800","3.740","147,38M","0,53%"
"10/02/2026","3.780","3.750","3.790","3.730","181,84M","0,27%"
"09/02/2026","3.770","3.790","3.800","3.710","215,61M","-0,26%"
"06/02/2026","3.780","3.800","3.850","3.770","279,13M","-1,82%"
"05/02/2026","3.850","3.850","3.940","3.840","342,76M","-0,52%"
"04/02/2026","3.870","3.820","3.880","3.800","251,01M","1,84%"
"03/02/2026","3.800","3.860","3.870","3.760","201,22M","-0,78%"
"02/02/2026","3.830","3.860","3.880","3.750","334,66M","0,52%"
"30/01/2026","3.810","3.780","3.890","3.740","532,33M","0,79%"
"29/01/2026","3.780","3.550","3.780","3.290","781,32M","5,29%"
"28/01/2026","3.590","3.630","3.780","3.540","726,74M","-6,02%"
"27/01/2026","3.820","3.850","3.850","3.780","157,63M","-0,78%"
"26/01/2026","3.850","3.840","3.850","3.800","120,00M","0,00%"
"23/01/2026","3.850","3.810","3.850","3.760","164,60M","1,05%"
"22/01/2026","3.810","3.850","3.850","3.790","153,74M","-0,26%"
"21/01/2026","3.820","3.850","3.850","3.800","273,68M","-0,78%"
"20/01/2026","3.850","3.840","3.880","3.820","170,25M","0,26%"
"19/01/2026","3.840","3.850","3.900","3.810","359,65M","0,52%"
"15/01/2026","3.820","3.730","3.850","3.730","407,15M","2,69%"
"14/01/2026","3.720","3.740","3.750","3.700","170,10M","0,00%"
"13/01/2026","3.720","3.700","3.730","3.670","227,62M","0,54%"
"12/01/2026","3.700","3.680","3.740","3.660","215,16M","0,54%"
"09/01/2026","3.680","3.730","3.740","3.670","143,47M","-0,81%"
"08/01/2026","3.710","3.710","3.760","3.700","182,02M","0,27%"
"07/01/2026","3.700","3.680","3.710","3.660","195,02M","0,54%"
