"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"27/02/2026","14.000","14.075","14.075","13.900","21,80K","-0,18%"
"26/02/2026","14.025","14.175","14.175","14.025","15,90K","-1,06%"
"25/02/2026","14.175","14.225","14.225","14.100","12,80K","-0,18%"
"24/02/2026","14.200","14.225","14.250","14.200","60,90K","0,00%"
"23/02/2026","14.200","14.250","14.300","13.925","63,90K","1,07%"
"20/02/2026","14.050","14.400","14.400","14.000","80,50K","-2,26%"
"19/02/2026","14.375","14.450","14.450","14.200","36,30K","1,05%"
"18/02/2026","14.225","14.225","14.450","14.200","28,30K","0,18%"
"13/02/2026","14.200","14.250","14.400","14.200","35,70K","0,18%"
"12/02/2026","14.175","14.225","14.300","14.150","70,50K","-0,18%"
"11/02/2026","14.200","14.175","14.375","14.150","49,80K","0,35%"
"10/02/2026","14.150","14.325","14.400","14.125","110,40K","-1,22%"
"09/02/2026","14.325","14.550","14.550","14.250","56,80K","-1,72%"
"06/02/2026","14.575","14.925","14.925","14.550","26,70K","-2,35%"
"05/02/2026","14.925","15.000","15.000","14.800","80,80K","-0,50%"
"04/02/2026","15.000","15.025","15.075","14.725","97,20K","-0,17%"
"03/02/2026","15.025","15.300","15.600","15.000","122,80K","-1,80%"
"02/02/2026","15.300","15.875","15.875","15.175","41,30K","-2,86%"
"30/01/2026","15.750","15.725","16.175","15.725","30,10K","0,16%"
"29/01/2026","15.725","15.950","15.950","15.000","51,90K","-1,72%"
"28/01/2026","16.000","14.300","16.500","14.300","90,10K","-3,61%"
"27/01/2026","16.600","16.675","16.675","16.500","6,90K","-0,30%"
"26/01/2026","16.650","17.000","17.000","16.575","48,60K","-2,06%"
"23/01/2026","17.000","17.150","17.150","16.900","14,70K","-0,73%"
"22/01/2026","17.125","16.950","17.225","16.950","9,10K","-0,58%"
"21/01/2026","17.225","17.250","17.275","16.900","13,80K","-0,14%"
"20/01/2026","17.250","17.200","17.300","17.000","8,80K","0,29%"
"19/01/2026","17.200","17.150","17.200","17.025","13,70K","0,29%"
"15/01/2026","17.150","17.150","17.150","17.000","5,60K","0,00%"
"14/01/2026","17.150","17.125","17.175","17.125","14,50K","0,29%"
"13/01/2026","17.100","17.050","17.100","16.700","13,40K","0,29%"
"12/01/2026","17.050","17.225","17.225","16.550","16,40K","-1,02%"
"09/01/2026","17.225","17.200","17.275","16.550","31,20K","0,15%"
"08/01/2026","17.200","17.125","17.375","17.125","18,80K","0,44%"
"07/01/2026","17.125","17.375","17.400","16.975","25,10K","-1,44%"
"06/01/2026","17.375","17.450","17.500","16.425","115,20K","-0,43%"
"05/01/2026","17.450","16.425","17.550","16.425","181,30K","6,73%"
"02/01/2026","16.350","15.700","16.350","15.700","55,00K","4,14%"
"30/12/2025","15.700","15.775","16.000","15.675","17,90K","-0,48%"
"29/12/2025","15.775","15.600","15.900","15.600","47,30K","0,80%"
"24/12/2025","15.650","15.950","15.950","15.625","21,60K","-1,11%"
"23/12/2025","15.825","16.000","16.000","15.475","70,20K","-0,94%"
"22/12/2025","15.975","15.950","16.000","15.950","20,50K","0,16%"
"19/12/2025","15.950","16.650","16.650","15.950","141,20K","-4,06%"
"18/12/2025","16.625","16.975","16.975","16.550","24,40K","-2,06%"
"17/12/2025","16.975","16.850","17.025","16.300","116,50K","0,89%"
"16/12/2025","16.825","16.900","16.950","16.700","118,00K","0,15%"
"15/12/2025","16.800","17.250","17.250","16.500","85,50K","-2,61%"
"12/12/2025","17.250","17.200","17.375","17.200","6,70K","0,00%"
"11/12/2025","17.250","17.425","17.425","17.250","43,50K","-1,00%"
"10/12/2025","17.425","17.450","17.450","17.250","11,60K","-0,43%"
"09/12/2025","17.500","17.725","17.725","17.175","17,30K","-1,27%"
"08/12/2025","17.725","17.775","17.775","17.550","27,50K","-0,28%"
"05/12/2025","17.775","17.550","17.775","17.550","26,50K","1,28%"
"04/12/2025","17.550","17.500","17.550","17.375","14,30K","0,29%"
"03/12/2025","17.500","17.400","17.500","17.400","5,50K","0,57%"
"02/12/2025","17.400","17.525","17.575","17.150","93,70K","-0,71%"
"01/12/2025","17.525","17.625","17.625","17.250","61,10K","-0,57%"
"28/11/2025","17.625","17.500","17.700","17.375","25,50K","1,29%"
"27/11/2025","17.400","17.500","17.625","17.350","21,30K","-0,57%"
"26/11/2025","17.500","17.375","17.500","17.375","28,80K","0,72%"
"25/11/2025","17.375","17.525","17.525","17.275","56,50K","-0,86%"
