"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"27/02/2026","7.850","7.950","8.025","7.850","7,92M","-0,63%"
"26/02/2026","7.900","8.025","8.100","7.875","11,03M","-1,56%"
"25/02/2026","8.025","8.000","8.075","7.975","4,88M","0,94%"
"24/02/2026","7.950","8.150","8.175","7.950","13,39M","-2,45%"
"23/02/2026","8.150","8.050","8.175","8.050","6,45M","1,56%"
"20/02/2026","8.025","8.200","8.225","8.000","12,38M","-1,23%"
"19/02/2026","8.125","8.200","8.275","8.100","7,45M","-0,91%"
"18/02/2026","8.200","8.225","8.250","8.150","4,37M","0,00%"
"13/02/2026","8.200","8.200","8.225","8.075","7,72M","0,00%"
"12/02/2026","8.200","8.200","8.250","8.125","2,88M","0,31%"
"11/02/2026","8.175","8.150","8.250","8.125","4,71M","0,62%"
"10/02/2026","8.125","8.125","8.200","8.100","4,26M","0,62%"
"09/02/2026","8.075","8.075","8.175","7.875","13,20M","0,00%"
"06/02/2026","8.075","8.250","8.275","8.000","10,29M","-2,71%"
"05/02/2026","8.300","8.300","8.500","8.300","7,34M","0,00%"
"04/02/2026","8.300","8.575","8.575","8.300","9,95M","-3,21%"
"03/02/2026","8.575","8.350","8.600","8.225","17,58M","2,39%"
"02/02/2026","8.375","8.075","8.375","8.025","19,37M","5,35%"
"30/01/2026","7.950","7.675","8.125","7.675","18,17M","3,58%"
"29/01/2026","7.675","7.700","7.775","7.225","29,32M","-1,29%"
"28/01/2026","7.775","8.150","8.150","7.675","21,93M","-5,47%"
"27/01/2026","8.225","8.400","8.400","8.125","8,34M","-2,08%"
"26/01/2026","8.400","8.275","8.450","8.175","11,91M","1,51%"
"23/01/2026","8.275","8.325","8.350","8.175","11,75M","-0,60%"
"22/01/2026","8.325","8.150","8.400","8.075","13,97M","2,78%"
"21/01/2026","8.100","8.125","8.150","8.025","9,62M","-0,31%"
"20/01/2026","8.125","8.100","8.200","8.100","4,87M","0,31%"
"19/01/2026","8.100","8.050","8.150","8.025","9,46M","0,62%"
"15/01/2026","8.050","8.000","8.100","7.975","5,66M","1,26%"
"14/01/2026","7.950","7.975","8.050","7.950","5,32M","-0,31%"
"13/01/2026","7.975","7.925","8.000","7.925","3,96M","0,95%"
