"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"27/02/2026","6.700","6.900","6.950","6.700","19,10M","-3,60%"
"26/02/2026","6.950","6.975","7.100","6.875","7,65M","0,36%"
"25/02/2026","6.925","7.150","7.200","6.925","5,66M","-3,82%"
"24/02/2026","7.200","7.200","7.275","7.000","9,45M","0,70%"
"23/02/2026","7.150","6.800","7.250","6.775","12,28M","6,32%"
"20/02/2026","6.725","6.775","6.800","6.650","5,92M","-0,74%"
"19/02/2026","6.775","6.975","6.975","6.775","7,13M","-1,81%"
"18/02/2026","6.900","7.075","7.150","6.850","10,51M","-2,47%"
"13/02/2026","7.075","7.225","7.225","6.950","11,84M","-2,08%"
"12/02/2026","7.225","7.375","7.400","7.225","5,60M","-1,37%"
"11/02/2026","7.325","7.200","7.375","7.150","12,77M","1,74%"
"10/02/2026","7.200","7.100","7.250","7.075","6,77M","1,41%"
"09/02/2026","7.100","7.125","7.200","7.000","4,91M","0,00%"
"06/02/2026","7.100","7.200","7.200","6.925","11,71M","-2,07%"
"05/02/2026","7.250","6.900","7.250","6.850","17,57M","5,84%"
"04/02/2026","6.850","6.425","7.025","6.425","17,51M","4,98%"
"03/02/2026","6.525","5.775","6.600","5.300","21,78M","10,59%"
"02/02/2026","5.900","6.450","6.450","5.600","8,05M","-8,53%"
"30/01/2026","6.450","6.300","6.450","6.200","10,07M","2,38%"
"29/01/2026","6.300","6.350","6.500","5.650","21,60M","-4,55%"
"28/01/2026","6.600","6.700","6.825","6.075","14,91M","-5,71%"
"27/01/2026","7.000","6.750","7.000","6.650","6,59M","2,94%"
"26/01/2026","6.800","6.725","6.800","6.550","5,89M","2,26%"
"23/01/2026","6.650","6.850","6.875","6.650","6,04M","-2,56%"
"22/01/2026","6.825","7.000","7.050","6.825","7,48M","-2,50%"
"21/01/2026","7.000","7.000","7.000","6.850","6,24M","0,00%"
"20/01/2026","7.000","7.000","7.000","6.875","5,41M","0,00%"
"19/01/2026","7.000","6.650","7.000","6.650","12,34M","4,87%"
"15/01/2026","6.675","6.550","6.750","6.550","6,84M","1,52%"
"14/01/2026","6.575","6.600","6.725","6.575","7,73M","-1,87%"
"13/01/2026","6.700","6.500","6.700","6.325","10,06M","3,08%"
"12/01/2026","6.500","6.725","6.725","6.450","12,09M","-3,35%"
"09/01/2026","6.725","6.825","6.850","6.700","7,28M","-0,74%"
"08/01/2026","6.775","6.875","6.950","6.775","8,09M","-1,09%"
"07/01/2026","6.850","7.050","7.075","6.825","14,33M","-2,84%"
"06/01/2026","7.050","7.100","7.100","7.025","6,02M","-1,05%"
"05/01/2026","7.125","7.125","7.125","7.000","6,61M","0,00%"
"02/01/2026","7.125","7.100","7.150","7.000","5,63M","1,79%"
"30/12/2025","7.000","7.050","7.075","7.000","4,06M","-0,36%"
"29/12/2025","7.025","7.025","7.075","7.000","2,57M","0,36%"
"24/12/2025","7.000","7.000","7.075","7.000","2,72M","0,00%"
"23/12/2025","7.000","7.075","7.100","7.000","3,35M","-0,71%"
"22/12/2025","7.050","7.150","7.175","7.050","3,81M","-1,74%"
"19/12/2025","7.175","7.025","7.175","7.000","12,16M","2,50%"
"18/12/2025","7.000","7.050","7.125","7.000","5,67M","-0,71%"
"17/12/2025","7.050","7.175","7.200","7.050","4,20M","-1,74%"
"16/12/2025","7.175","7.150","7.175","7.075","5,75M","1,77%"
"15/12/2025","7.050","7.050","7.250","7.050","8,40M","0,00%"
"12/12/2025","7.050","7.225","7.225","7.050","6,76M","-1,74%"
"11/12/2025","7.175","7.100","7.175","7.050","7,73M","1,77%"
"10/12/2025","7.050","7.225","7.250","7.050","11,61M","-1,74%"
"09/12/2025","7.175","7.400","7.425","7.175","14,33M","-3,04%"
"08/12/2025","7.400","7.600","7.650","7.400","9,16M","-2,63%"
"05/12/2025","7.600","7.625","7.750","7.450","10,06M","-0,33%"
"04/12/2025","7.625","7.825","7.825","7.625","9,12M","-2,24%"
"03/12/2025","7.800","7.825","7.875","7.600","17,60M","0,32%"
"02/12/2025","7.775","7.400","7.875","7.400","26,35M","5,07%"
"01/12/2025","7.400","7.500","7.550","7.350","8,61M","0,00%"
"28/11/2025","7.400","7.375","7.550","7.300","12,44M","0,34%"
"27/11/2025","7.375","7.200","7.450","7.175","16,23M","2,79%"
"26/11/2025","7.175","7.175","7.225","7.025","10,60M","0,00%"
"25/11/2025","7.175","7.150","7.200","7.025","10,00M","0,35%"
"24/11/2025","7.150","7.250","7.300","7.150","37,89M","-1,72%"
"21/11/2025","7.275","7.150","7.275","7.100","5,92M","1,04%"
"20/11/2025","7.200","7.225","7.300","7.200","5,70M","0,00%"
"19/11/2025","7.200","7.600","7.650","7.200","15,77M","-4,00%"
"18/11/2025","7.500","7.150","7.650","7.150","40,02M","5,63%"
"17/11/2025","7.100","7.050","7.150","7.025","6,66M","1,43%"
"14/11/2025","7.000","7.000","7.050","6.950","5,24M","0,00%"
"13/11/2025","7.000","7.100","7.100","7.000","7,79M","-0,36%"
"12/11/2025","7.025","7.100","7.300","7.025","15,31M","-0,35%"
"11/11/2025","7.050","7.050","7.075","6.950","8,50M","0,36%"
"10/11/2025","7.025","7.075","7.150","7.000","11,02M","-0,35%"
"07/11/2025","7.050","7.125","7.150","7.000","6,59M","0,00%"
"06/11/2025","7.050","7.050","7.175","7.025","6,47M","0,36%"
"05/11/2025","7.025","7.000","7.050","6.950","4,81M","0,36%"
"04/11/2025","7.000","7.200","7.250","7.000","8,31M","-2,10%"
"03/11/2025","7.150","7.025","7.175","7.000","7,78M","2,88%"
"31/10/2025","6.950","7.100","7.150","6.950","8,32M","-1,42%"
"30/10/2025","7.050","7.100","7.125","7.025","4,35M","0,00%"
"29/10/2025","7.050","7.175","7.200","7.050","6,72M","-1,40%"
"28/10/2025","7.150","7.450","7.475","7.075","13,53M","-3,38%"
"27/10/2025","7.400","7.350","7.650","7.075","25,76M","1,72%"
"24/10/2025","7.275","7.150","7.650","7.150","20,08M","1,75%"
"23/10/2025","7.150","7.100","7.175","7.075","3,32M","1,06%"
"22/10/2025","7.075","7.175","7.200","7.025","6,51M","-1,39%"
"21/10/2025","7.175","7.050","7.175","7.050","5,94M","2,14%"
"20/10/2025","7.025","7.000","7.125","6.950","6,30M","1,44%"
"17/10/2025","6.925","7.150","7.200","6.825","10,99M","-3,15%"
"16/10/2025","7.150","7.200","7.275","7.150","8,23M","-0,35%"
"15/10/2025","7.175","7.550","7.600","7.175","17,04M","-4,01%"
"14/10/2025","7.475","8.100","8.125","7.250","25,38M","-7,14%"
