"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"27/02/2026","2.380","2.320","2.410","2.310","68,47M","3,03%"
"26/02/2026","2.310","2.350","2.360","2.300","15,42M","-0,86%"
"25/02/2026","2.330","2.350","2.370","2.320","15,56M","-0,85%"
"24/02/2026","2.350","2.370","2.380","2.320","24,68M","-0,84%"
"23/02/2026","2.370","2.260","2.370","2.250","34,47M","5,80%"
"20/02/2026","2.240","2.220","2.250","2.210","7,59M","0,90%"
"19/02/2026","2.220","2.270","2.310","2.220","17,97M","-1,77%"
"18/02/2026","2.260","2.340","2.340","2.260","16,59M","-1,74%"
"13/02/2026","2.300","2.320","2.370","2.300","19,68M","0,00%"
"12/02/2026","2.300","2.290","2.330","2.270","40,50M","1,77%"
"11/02/2026","2.260","2.300","2.320","2.250","18,62M","-1,74%"
"10/02/2026","2.300","2.300","2.420","2.280","56,39M","0,00%"
"09/02/2026","2.300","2.300","2.300","2.250","23,16M","0,00%"
"06/02/2026","2.300","2.190","2.300","2.140","71,49M","4,07%"
"05/02/2026","2.210","2.060","2.250","2.040","71,31M","7,80%"
"04/02/2026","2.050","2.010","2.090","1.980","49,77M","1,99%"
"03/02/2026","2.010","2.010","2.110","1.995","46,08M","-0,99%"
"02/02/2026","2.030","1.955","2.070","1.920","52,59M","5,45%"
"30/01/2026","1.925","1.890","1.960","1.885","33,23M","3,49%"
"29/01/2026","1.860","1.960","1.960","1.690","74,52M","-6,06%"
"28/01/2026","1.980","2.000","2.020","1.930","39,80M","-3,88%"
"27/01/2026","2.060","2.140","2.180","2.030","35,66M","-4,19%"
"26/01/2026","2.150","2.250","2.260","2.130","27,24M","-4,44%"
"23/01/2026","2.250","2.280","2.280","2.200","20,40M","-1,32%"
"22/01/2026","2.280","2.270","2.310","2.270","21,04M","-0,44%"
"21/01/2026","2.290","2.320","2.320","2.240","30,52M","-1,29%"
"20/01/2026","2.320","2.330","2.360","2.320","18,40M","-0,43%"
"19/01/2026","2.330","2.450","2.460","2.310","56,29M","-4,90%"
"15/01/2026","2.450","2.580","2.590","2.420","51,45M","-5,04%"
"14/01/2026","2.580","2.610","2.620","2.580","15,76M","-0,77%"
"13/01/2026","2.600","2.600","2.630","2.590","33,93M","0,00%"
"12/01/2026","2.600","2.650","2.650","2.590","44,08M","-0,76%"
"09/01/2026","2.620","2.640","2.680","2.620","23,05M","0,00%"
"08/01/2026","2.620","2.620","2.730","2.610","44,40M","0,77%"
"07/01/2026","2.600","2.610","2.640","2.600","18,80M","-0,38%"
"06/01/2026","2.610","2.580","2.620","2.580","16,60M","1,16%"
"05/01/2026","2.580","2.620","2.620","2.580","13,51M","-1,53%"
"02/01/2026","2.620","2.620","2.630","2.600","7,86M","0,77%"
"30/12/2025","2.600","2.600","2.660","2.590","17,93M","0,00%"
"29/12/2025","2.600","2.610","2.630","2.560","13,76M","0,00%"
"24/12/2025","2.600","2.620","2.620","2.590","10,06M","-0,38%"
"23/12/2025","2.610","2.690","2.700","2.610","17,22M","-3,33%"
"22/12/2025","2.700","2.730","2.730","2.670","22,61M","-2,53%"
"19/12/2025","2.770","2.660","2.770","2.610","28,98M","4,53%"
"18/12/2025","2.650","2.630","2.680","2.620","17,52M","0,76%"
"17/12/2025","2.630","2.700","2.700","2.630","20,82M","-2,95%"
"16/12/2025","2.710","2.580","2.710","2.580","32,06M","5,04%"
"15/12/2025","2.580","2.590","2.610","2.570","18,48M","-1,90%"
"12/12/2025","2.630","2.640","2.660","2.600","14,73M","-0,38%"
"11/12/2025","2.640","2.730","2.740","2.600","30,83M","-3,30%"
"10/12/2025","2.730","2.710","2.750","2.670","29,65M","2,25%"
"09/12/2025","2.670","2.620","2.710","2.590","44,95M","1,91%"
"08/12/2025","2.620","2.730","2.730","2.620","34,43M","-3,32%"
"05/12/2025","2.710","2.780","2.790","2.710","34,35M","-2,17%"
"04/12/2025","2.770","2.800","2.810","2.690","40,07M","0,00%"
"03/12/2025","2.770","2.670","2.800","2.670","65,74M","4,53%"
"02/12/2025","2.650","2.620","2.670","2.600","35,26M","1,15%"
"01/12/2025","2.620","2.570","2.650","2.570","17,32M","0,77%"
"28/11/2025","2.600","2.620","2.640","2.590","18,01M","0,00%"
"27/11/2025","2.600","2.620","2.630","2.560","34,24M","0,00%"
"26/11/2025","2.600","2.640","2.690","2.590","21,03M","-1,14%"
"25/11/2025","2.630","2.670","2.670","2.580","25,21M","-1,50%"
"24/11/2025","2.670","2.560","2.670","2.560","32,67M","5,12%"
